swing,oscillate
tactful,diplomatic
take on,employ
takeoff,mimicry
tasty,palatable
teach,educate
tell,inform
tell,recount
thing,matter
thing,issue
think,cogitate
timeless,eternal
times,multiply
tip,gratuity
tired,fatigued
tomb,sepulcher
too,also
totally,completely
touching,poignant
trim,ornament
trip,voyage
truthful,veracious
try,endeavour
tune,song
unchangeable,immutable
understanding,comprehension
unhappy,dissatisfied
unruly,intractable
unselfishness,altruism
upset,disturb
uptight,nervous
use,consume
various,sundry
very,highly
want,desire
want,wish
watch,observe
wealthy,affluent
whole,complete
whole,entire
willing,compliant
wisecrack,joke
wordy,verbose
workable,feasible
worry,apprehension
worse,inferior
wrong,incorrect
yardstick,criterion
